Digi-Key Part #,Manufacturer,Manufacturers Part #,Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,Distributor
497-6288-ND,STMICROELECTRONICS,STM32F103CBT6,,1,7,0,MCU ARM 128K FLASH/TIMER,,Digikey
450-1652-ND,TE CONNECTIVITY ALCOSWITCH,FSM6JH,,2,10,0,SWITCH TACTILE SPST-NO 0.05A 12V,,Digikey
718-1921-1-ND,VISHAY SPRAGUE (VA),TL8A0107M010C,,1,10,0,CAP TANT 100UF 10V 20% 1206,,Digikey
311-1152-1-ND,YAGEO (VA),CC1206JRNPO9BN180,,2,10,0,CAP CER 18PF 50V 5% NPO 1206,,Digikey
490-1755-1-ND,MURATA ELECTRONICS (VA),GRM3195C1H113JA01D,,1,10,0,CAP CER 0.011UF 50V 5% NP0 1206,11nf,Digikey
568-6512-1-ND,NXP SEMICONDUCTORS (VA),"PMEG3010BER,115",,2,10,0,DIODE SCHOTTKY 30V 1A SOD123W,,Digikey
F2112CT-ND,LITTELFUSE INC (VA),1206L050YR,,1,10,0,FUSE PTC RESET 6V .50A 1206,,Digikey
P1.50KFCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8ENF1501V,,1,50,0,RES 1.5K OHM 1/4W 1% 1206 SMD,,Digikey
P10.5KFCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8ENF1052V,,2,50,0,RES 10.5K OHM 1/4W 1% 1206 SMD,,Digikey
541-1.05KFCT-ND,VISHAY DALE (VA),CRCW12061K05FKEA,,4,80,0,RES 1.05K OHM 1/4W 1% 1206 SMD,,Digikey
576-1274-1-ND,MICREL INC (VA),MIC5209-3.3YS TR,,1,10,0,IC REG LDO 3.3V 0.5A SOT223,,Digikey
MCP1703T-3302E/CBCT-ND,MICROCHIP TECHNOLOGY (VA),MCP1703T-3302E/CB,,1,10,0,IC REG LDO 3.3V 0.25A SOT23A-3,,Digikey
568-6425-1-ND,NXP SEMICONDUCTORS (VA),"PDTA114ET,215",,1,10,0,TRANS PNP W/RES 50V SOT-23,,Digikey
WM17121-ND,MOLEX INC,565790519,,1,10,0,CONN RECEPT USB 5POS RT ANG PCB,,Mouser
887-1452-1-ND,TXC CORPORATION (VA),7B-8.000MAAJ-T,,1,10,0,CRYSTAL 8.000MHZ 18PF SMD,,Digikey
732-1625-1-ND,Wurth Electronics Inc,74279213,,1,10,0,FERRITE BEAD 600 OHM .20A 1206,,Digikey
445-4043-1-ND,TDK CORPORATION (VA),C3216X7R1A106K160AC,,1,10,0,CAP CER 10UF 10V 10% X7R 1206,,Digikey
445-1592-1-ND,TDK CORPORATION (VA),C3216X7R1E105K085AA,,4,40,0,CAP CER 1UF 25V 10% X7R 1206,,Digikey
NUF2042XV6T1GOSCT-ND,ON SEMICONDUCTOR,NUF2042XV6T1G,,1,10,0,IC FILTER USB ESD PROTECT SOT363,,Digikey
952-1901-ND,HARWIN INC,M20-9732046,,2,20,0,20POS SIL VERTICAL PIN HEADER,,Digikey
754-1373-ND,KINGBRIGHT COMPANY LLC,WP4060GD,,1,10,0,LED SS 1.8MM 568NM GRN DIFF,LED Green,Digikey
754-1376-ND,KINGBRIGHT COMPANY LLC,WP4060YD,,1,10,0,LED SS 1.8MM 588NM YLW DIF,LED Yellow,Digikey
